Category;Year;Filename;Offence/type;Cases;Offences;Attempted;Multiple;Solved;Total accused;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70-99;No information;Male;Female;Legal persons;No information_1;Total;Residents;Asylum I;Asylum II;Miscellaneous;No information_2
Public order;2012;2012_swisscrime.csv;311.00.262.00 Disturbing the peace of the dead;43;49;0;0;8;8;0;0;1;0;3;0;0;0;1;1;1;1;0;5;3;0;0;2;X;X;X;X;X
Public order;2012;2012_swisscrime.csv;311.00.263.00 Committing an offence while in a state of voluntarily induced mental incapacity;11;13;0;2;11;10;0;0;0;0;7;1;1;0;0;1;0;0;0;9;1;0;0;4;2;2;0;0;0
State and national security;2012;2012_swisscrime.csv;311.00.267.00 Diplomatic treason;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
State and national security;2012;2012_swisscrime.csv;311.00.268.00 Moving boundary markers;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2012;2012_swisscrime.csv;311.00.271.00 Unlawful activities on behalf of a foreign state;1;1;0;0;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2012;2012_swisscrime.csv;311.00.273.00 Industrial espionage;2;2;0;0;2;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2012;2012_swisscrime.csv;311.00.275.00 Attacks on the constitutional order;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
State and national security;2012;2012_swisscrime.csv;311.00.278.00 Disruption of military service;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the will of the people;2012;2012_swisscrime.csv;311.00.280.00 Attacks on the right to vote;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the will of the people;2012;2012_swisscrime.csv;311.00.281.00.B0 Corrupt electoral practices;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the will of the people;2012;2012_swisscrime.csv;311.00.282.00 Electoral fraud -;17;17;0;3;12;11;0;0;1;0;0;1;1;1;3;4;0;0;0;6;5;0;0;4;4;0;0;0;0
Offences against the will of the people;2012;2012_swisscrime.csv;311.00.282.A0 Vote catching;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against official powers;2012;2012_swisscrime.csv;311.00.285.00 Violence and threats against public authorities and public officials;2272;2957;1;65;2796;2214;0;11;136;199;535;406;257;178;298;141;41;11;1;1991;223;0;0;981;487;244;50;185;15
Offences against official powers;2012;2012_swisscrime.csv;311.00.286.00 Prevention of an official act;2052;2123;4;12;2095;2154;0;27;179;253;577;416;261;176;160;68;29;8;0;2021;133;0;0;1325;397;414;76;435;3
Offences against official powers;2012;2012_swisscrime.csv;311.00.287.00 Usurpation of office;63;65;0;0;42;48;0;0;1;6;4;12;4;3;13;3;0;0;2;46;2;0;0;15;10;0;0;5;0
Offences against official powers;2012;2012_swisscrime.csv;311.00.289.00 Removal of seized property;29;32;0;0;31;33;0;0;0;0;0;1;3;4;11;5;7;0;0;26;5;2;0;13;12;0;1;0;0
Offences against official powers;2012;2012_swisscrime.csv;311.00.290.00 Breaking the seals;21;21;0;0;10;12;0;0;0;0;2;1;0;3;4;0;1;0;0;8;3;1;0;7;6;0;0;1;0
Offences against official powers;2012;2012_swisscrime.csv;311.00.291.00 Breach of an expulsion order;36;36;0;1;35;24;0;0;0;1;5;2;7;3;6;0;0;0;0;23;1;0;0;24;0;1;1;22;0
Offences against official powers;2012;2012_swisscrime.csv;311.00.292.00 Contempt of official orders;3976;4006;2;241;3962;2826;0;4;24;83;360;452;431;320;636;355;120;33;0;2231;587;8;0;1360;1042;131;26;157;4
Offences against official powers;2012;2012_swisscrime.csv;311.00.293.00 Publication of secret official proceedings;2;2;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against official powers;2012;2012_swisscrime.csv;311.00.294.00 Breach of an activity prohibition;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences detrimental to Foreign Relations;2012;2012_swisscrime.csv;311.00.297.00 Insulting an international organisation;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences detrimental to Foreign Relations;2012;2012_swisscrime.csv;311.00.298.00 Attacks on the national emblems of a foreign state;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences detrimental to Foreign Relations;2012;2012_swisscrime.csv;311.00.299.00 Violation of foreign territorial sovereignty;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.303.00 False accusation;577;586;1;17;558;587;0;26;49;48;96;71;62;44;107;51;22;9;2;360;226;0;1;261;199;15;1;45;1
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.304.00 Misleading judicial authorities;533;543;5;4;528;588;0;27;51;51;117;72;61;54;85;40;22;8;0;388;200;0;0;253;198;12;1;38;4
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.305.00 Assisting offenders;185;195;13;3;189;247;0;4;17;29;60;39;24;6;35;17;9;7;0;178;69;0;0;108;78;9;0;21;0
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.305.A0 Money laundering;319;351;22;27;307;360;0;0;2;7;44;51;45;44;81;51;19;4;8;288;62;4;6;250;76;24;6;127;17
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.305.B0 Insufficient diligence in financial transactions and right to report;3;3;0;0;2;4;0;0;0;0;1;0;0;1;1;0;0;0;1;3;1;0;0;1;X;X;X;X;X
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.306.00 Perjury by a party to civil proceedings;10;10;0;0;9;16;0;0;0;0;0;1;1;2;6;2;2;2;0;12;4;0;0;4;3;0;0;1;0
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.307.00 Perjury by an expert witness. False translation;30;31;1;1;30;36;0;0;2;2;4;2;5;1;9;6;4;1;0;28;8;0;0;13;9;1;0;3;0
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.310.00 Assisting prisoners to escape;3;3;0;0;3;7;0;0;1;1;2;2;0;0;0;1;0;0;0;6;1;0;0;5;1;0;1;3;0
Offences against the administration of justice;2012;2012_swisscrime.csv;311.00.311.00 Prison mutiny;3;3;0;1;3;8;0;0;7;0;1;0;0;0;0;0;0;0;0;8;0;0;0;4;3;1;0;0;0
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.312.00 Abuse of public office;91;93;1;2;66;92;0;0;0;0;1;8;7;6;23;20;9;2;16;78;11;0;3;6;2;0;0;2;2
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.313.00 Overcharging of taxes;1;1;0;0;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.314.00 Misconduct in public office;9;11;0;1;8;9;0;0;0;0;0;1;0;1;3;2;2;0;0;9;0;0;0;0;0;0;0;0;0
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.317.00 Forgery of a document by a public official;7;9;0;2;8;6;0;0;0;0;0;2;0;0;2;2;0;0;0;5;1;0;0;1;X;X;X;X;X
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.318.00 Issuing a false medical certificate;10;12;0;5;12;7;0;0;0;0;0;1;1;0;2;3;0;0;0;4;3;0;0;0;0;0;0;0;0
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.319.00 Assistance by a public official in the escape of prisoners;3;3;0;0;2;5;0;0;3;0;2;0;0;0;0;0;0;0;0;3;2;0;0;3;X;X;X;X;X
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.320.00 Breach of official secrecy;40;49;0;0;32;31;0;0;1;0;1;1;3;3;5;10;7;0;0;22;9;0;0;3;X;X;X;X;X
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.321.00 Breach of professional confidentiality;14;14;0;1;12;13;0;0;0;0;1;1;1;4;2;4;0;0;0;6;7;0;0;2;X;X;X;X;X
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.321.B0 Breach of professional confidentiality in research involving human beings;38;50;0;4;17;14;0;0;0;1;1;3;2;0;6;1;0;0;0;8;6;0;0;5;4;0;0;1;0
Offences against Official or Professional Duty;2012;2012_swisscrime.csv;311.00.322.A0 Failure to prevent an illegal publication;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Bribery;2012;2012_swisscrime.csv;311.00.322.B0 Bribery;7;7;2;2;7;8;0;0;0;0;3;0;0;0;1;2;2;0;0;7;1;0;0;4;3;0;0;1;0
Bribery;2012;2012_swisscrime.csv;311.00.322.B0 Accepting bribes;2;2;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Bribery;2012;2012_swisscrime.csv;311.00.322.D0 Granting an advantage;1;3;0;0;3;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Bribery;2012;2012_swisscrime.csv;311.00.322.D0 Acceptance of an advantage;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Contraventions of Federal Law;2012;2012_swisscrime.csv;311.00.323.00 Failure of a debtor to comply with DEBA regulations;6983;6990;4;2466;6891;5667;0;0;5;117;835;1103;871;647;1157;660;219;47;1;4151;1511;5;0;2468;2340;46;1;78;3
Offences against Contraventions of Federal Law;2012;2012_swisscrime.csv;311.00.324.00 Failure of third parties to comply with DEBA regulations;15;15;0;0;15;15;0;0;0;0;1;1;3;2;6;0;0;1;0;12;2;1;0;6;6;0;0;0;0
Offences against Contraventions of Federal Law;2012;2012_swisscrime.csv;311.00.325.00 Failure to comply with accounting regulations;38;64;0;3;64;50;0;0;0;0;3;2;4;11;14;11;2;2;0;42;7;1;0;19;18;0;0;1;0
Offences against Contraventions of Federal Law;2012;2012_swisscrime.csv;311.00.325 Failure to comply with regulations protecting tenants;4;4;0;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Contraventions of Federal Law;2012;2012_swisscrime.csv;311.00.326.B0 Contravention of the law of business;7;7;0;0;5;5;0;0;0;0;0;0;0;0;0;2;1;2;0;5;0;0;0;1;X;X;X;X;X
Offences against Contraventions of Federal Law;2012;2012_swisscrime.csv;311.00.331.00 Unauthorised wearing of military uniform;4;4;0;0;4;4;0;0;0;0;2;0;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
Offences against Contraventions of Federal Law;2012;2012_swisscrime.csv;311.00.332.00 Failure to report a find;469;474;1;2;162;170;0;5;26;16;32;34;16;15;15;9;2;0;0;146;24;0;0;105;35;42;7;21;0
Life and Limb;2013;2013_swisscrime.csv;311.00.111.00 Homicide (Art. 111-113/116);178;209;152;5;195;210;0;0;8;20;30;43;27;19;37;16;7;3;0;189;21;0;0;123;67;15;1;37;3
Life and Limb;2013;2013_swisscrime.csv;311.00.114.00 Homicide at the request of the victim;1;1;1;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Life and Limb;2013;2013_swisscrime.csv;311.00.115.00 Inciting and assisting suicide;1;1;1;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Life and Limb;2013;2013_swisscrime.csv;311.00.117.00 Homicide through negligence;45;48;0;0;39;53;0;0;1;0;4;5;6;6;15;8;6;2;0;48;5;0;0;18;14;0;0;4;0
Life and Limb;2013;2013_swisscrime.csv;311.00.118.00 Illegal abortion;7;7;2;0;6;9;0;0;1;2;0;2;1;0;2;0;1;0;0;7;2;0;0;6;3;0;0;3;0
Life and Limb;2013;2013_swisscrime.csv;311.00.120.00 Contraventions by physicians;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life and Limb;2013;2013_swisscrime.csv;311.00.122.00 Grievous bodily harm;484;568;155;6;412;488;0;10;34;53;111;84;60;28;65;32;8;3;0;453;35;0;0;247;160;36;6;44;1
Life and Limb;2013;2013_swisscrime.csv;311.00.123.00 Simply bodily harm;7384;8527;160;349;7136;7332;7;220;563;498;1126;1063;941;797;1228;608;194;74;12;6226;1105;1;0;3912;2868;331;35;585;93
Life and Limb;2013;2013_swisscrime.csv;311.00.125.00 Bodily harm through negligence;546;605;4;0;459;448;2;8;21;19;25;16;41;54;106;83;43;29;1;321;127;0;0;140;100;5;0;33;2
Life and Limb;2013;2013_swisscrime.csv;311.00.126.00 Assault;10575;12223;0;1702;10809;10359;7;330;543;368;1227;1292;1373;1219;2274;1090;446;184;6;8055;2304;0;0;5188;4182;319;40;459;188
Life and Limb;2013;2013_swisscrime.csv;311.00.127.00 Endangering the life or health of another / Abandonment;17;19;0;0;16;15;0;0;2;0;0;4;2;2;2;1;2;0;0;9;6;0;0;5;0;0;0;5;0
Life and Limb;2013;2013_swisscrime.csv;311.00.128.00 Failure to offer aid in an emergency;92;99;0;0;77;119;0;1;20;14;17;15;16;7;7;14;4;4;0;102;17;0;0;57;38;2;0;15;2
Life and Limb;2013;2013_swisscrime.csv;311.00.128.A0 False alarm;84;85;0;3;58;56;0;1;4;1;7;2;8;4;15;11;3;0;0;46;10;0;0;23;15;3;1;4;0
Life and Limb;2013;2013_swisscrime.csv;311.00.129.00 Endangering life ;536;599;11;15;417;423;1;8;11;30;62;67;52;38;79;43;20;12;0;388;35;0;0;190;140;8;1;32;9
Life and Limb;2013;2013_swisscrime.csv;311.00.133.00 Participation brawl;187;922;2;1;911;834;0;7;92;102;284;141;85;45;51;21;6;0;0;767;67;0;0;466;316;72;11;66;1
Life and Limb;2013;2013_swisscrime.csv;311.00.134.00 Participation attack;711;1587;5;5;1115;985;0;40;203;158;232;146;71;37;60;29;5;3;1;922;63;0;0;541;389;61;0;82;9
Life and Limb;2013;2013_swisscrime.csv;311.00.135.00 Representations of acts of violence;124;125;0;5;122;130;0;24;42;17;17;12;7;5;4;2;0;0;0;119;11;0;0;48;41;3;0;4;0
Life and Limb;2013;2013_swisscrime.csv;311.00.136.00 Administering substances capable of causing injury to children;92;101;1;6;95;82;0;5;20;8;9;6;9;4;6;13;1;1;0;69;13;0;0;29;20;4;0;5;0
Property;2013;2013_swisscrime.csv;311.00.137.00 Unlawful appropriation, including minor offences;2810;2828;4;11;617;660;1;23;65;44;86;89;66;52;123;77;27;5;0;496;162;2;0;334;190;37;12;89;6
Property;2013;2013_swisscrime.csv;311.00.138.00 Misappropriation;2154;3692;15;109;3414;1820;0;4;29;38;159;208;262;214;462;272;106;35;5;1343;451;26;0;921;636;17;1;226;41
Property;2013;2013_swisscrime.csv;311.00.139.00 Theft (not specified);64249;64593;378;336;7774;7364;1;385;741;554;1213;1116;907;686;1014;467;195;64;14;5531;1825;7;1;4581;1881;712;102;1714;172
Property;2013;2013_swisscrime.csv;311.00.139.10 Burglary;56582;56930;18372;80;6854;4542;2;191;506;452;917;872;638;425;391;100;28;6;14;4221;319;0;2;3459;670;370;87;2080;252
Property;2013;2013_swisscrime.csv;311.00.139.71 Theft by secretly entering an unsecured place;11723;11800;513;53;1549;1554;1;104;196;172;298;253;181;121;133;63;21;9;2;1351;203;0;0;958;331;122;26;421;58
Property;2013;2013_swisscrime.csv;311.00.139.72 Snatch theft;2219;2228;79;1;233;256;0;9;39;29;59;53;27;15;18;5;1;1;0;234;22;0;0;184;62;32;9;66;15
Property;2013;2013_swisscrime.csv;311.00.139.74 Shoplifting;16732;17080;195;204;14231;10369;11;558;948;596;1573;1689;1444;1063;1355;675;286;165;3;6865;3501;3;0;7154;1937;1906;272;2683;356
Property;2013;2013_swisscrime.csv;311.00.139.75 Pickpocketing;29972;30014;193;11;1330;1239;1;19;67;91;251;254;204;158;137;45;10;2;0;902;336;0;1;1142;72;233;39;700;98
Property;2013;2013_swisscrime.csv;311.00.139.76 Theft by false pretences;6265;6280;147;14;600;637;0;9;34;35;107;129;111;78;97;26;8;0;3;510;127;0;0;582;52;72;14;376;68
Property;2013;2013_swisscrime.csv;311.00.139.78 Theft from a co-tenant;86;86;0;0;80;66;0;2;12;5;10;7;8;7;12;2;0;1;0;45;21;0;0;31;25;0;0;6;0
Property;2013;2013_swisscrime.csv;311.00.139.80 Vehicle larceny;17474;17663;2975;9;1559;762;0;6;73;75;159;179;119;82;48;15;4;1;1;745;17;0;0;647;96;227;40;254;30
Property;2013;2013_swisscrime.csv;311.00.139.81 Vehicle theft;39755;44079;599;53;1282;1377;0;116;254;177;279;167;138;95;100;32;9;3;7;1288;89;0;0;772;348;85;14;287;38
Property;2013;2013_swisscrime.csv;311.00.139.82 Theft from/ out of a vehicle;11216;11304;566;28;1096;892;0;19;85;91;208;180;145;70;69;20;4;0;1;859;33;0;0;666;137;219;41;244;25
Property;2013;2013_swisscrime.csv;311.00 140.00 Violent robbery;3065;3196;378;6;1079;1432;0;71;309;216;326;191;133;83;69;23;4;0;0;1300;125;7;0;914;410;136;18;311;39
Property;2013;2013_swisscrime.csv;311.00.141.00 Removal of property;520;522;1;7;433;481;0;7;16;14;41;51;43;44;133;93;29;8;0;361;118;2;0;193;157;3;1;32;0
Property;2013;2013_swisscrime.csv;311.00.141.A0 Unlawful use of financial assets;20;22;0;2;21;26;0;0;0;0;2;1;7;3;4;8;1;0;0;18;8;0;0;11;9;0;0;2;0
Property;2013;2013_swisscrime.csv;311.00.142.00 Unlawful abstraction of energy;38;38;0;2;35;57;0;0;6;3;12;5;7;4;9;7;3;1;0;47;10;0;0;27;15;1;0;9;2
Property;2013;2013_swisscrime.csv;311.00.143.00 Unauthorised obtaining of data;1207;1221;45;28;136;145;0;2;5;8;17;30;15;19;22;13;1;1;12;108;34;0;3;88;17;4;0;65;2
Property;2013;2013_swisscrime.csv;311.00.143.A0 Unauthorised access to a data processing system;353;354;11;8;74;85;0;6;12;2;15;11;7;6;13;5;2;0;4;66;15;2;2;28;16;3;0;9;0
Property;2013;2013_swisscrime.csv;311.00.144.00 Criminal damage (para. 1);47594;48130;3;335;8236;7704;23;644;1221;660;1274;859;705;543;934;506;217;110;6;6671;1030;2;1;3123;1957;283;39;719;125
Property;2013;2013_swisscrime.csv;311.00.144.0Z Criminal damage plus theft;70445;70736;15;99;8644;5609;2;279;667;562;1093;1055;743;505;495;132;51;11;14;5197;409;0;3;4087;862;590;121;2234;280
Property;2013;2013_swisscrime.csv;311.00.144.A0 Damage to data (1/1);366;369;1;4;43;52;0;1;7;1;9;10;4;7;9;2;0;1;1;41;10;0;1;19;9;5;0;5;0
Property;2013;2013_swisscrime.csv;311.00.145.00 Misappropriation and removal of property subject to a pledge or lien;9;9;0;1;9;9;0;0;0;0;0;1;1;2;3;2;0;0;0;9;0;0;0;4;4;0;0;0;0
Property;2013;2013_swisscrime.csv;311.00.146.00 Fraud;8815;9304;1508;348;6171;4285;0;29;101;133;526;547;537;500;913;522;215;55;110;3034;1143;97;11;2389;1419;55;2;819;94
Property;2013;2013_swisscrime.csv;311.00.147.00 Computer fraud;5274;5559;970;1224;1212;1100;0;10;62;62;211;173;153;119;166;80;26;10;27;771;325;1;3;740;261;37;5;389;48
Property;2013;2013_swisscrime.csv;311.00.148.00 Misuse of a cheque card or credit card;53;71;3;4;42;29;0;1;0;0;8;2;3;1;3;1;0;0;10;21;8;0;0;22;7;1;0;14;0
Property;2013;2013_swisscrime.csv;311.00.149.00 Making off from a hotel, restaurant or bar without payment;420;420;1;2;377;353;0;0;1;9;33;54;36;46;90;54;21;5;4;286;67;0;0;240;74;5;0;148;13
Property;2013;2013_swisscrime.csv;311.00.150.00 Obtaining a service without payment;771;776;3;38;607;634;0;9;83;61;161;119;60;44;56;28;5;5;2;471;162;1;0;363;156;62;14;110;21
Property;2013;2013_swisscrime.csv;311.00.150.A0 Production and marketing of equipment for the unauthorised decoding of encoded services;2;2;0;0;2;5;0;0;0;0;0;0;0;2;2;1;0;0;0;5;0;0;0;2;X;X;X;X;X
Property;2013;2013_swisscrime.csv;311.00.151.00 Maliciously causing financial loss to another;115;115;2;7;48;45;0;0;1;2;7;3;6;4;14;4;2;2;0;34;11;0;0;21;16;1;0;2;2
Property;2013;2013_swisscrime.csv;311.00.152.00 False statements about commercial business;4;5;0;0;4;6;0;0;0;0;0;0;0;0;3;1;1;1;0;5;1;0;0;2;X;X;X;X;X
Property;2013;2013_swisscrime.csv;311.00.153.00 False statements to the commercial register authorities;14;15;0;1;14;32;0;0;0;0;1;0;1;5;16;5;1;0;0;26;3;3;0;18;10;0;0;8;0
Property;2013;2013_swisscrime.csv;311.00.155.00 Counterfeiting of goods;34;34;0;0;24;30;0;1;0;1;5;6;3;6;5;1;2;0;0;25;5;0;0;15;6;1;0;8;0
Property;2013;2013_swisscrime.csv;311.00.156.00 Extortion;635;647;241;24;249;292;0;20;37;24;37;35;20;31;43;28;10;2;4;233;58;1;0;178;109;13;0;50;6
Property;2013;2013_swisscrime.csv;311.00.157.00 Profiteering;78;83;0;4;68;78;0;0;0;0;4;7;8;11;27;12;7;2;0;55;23;0;0;49;36;0;0;11;2
Property;2013;2013_swisscrime.csv;311.00.158.00 Criminal mismanagement;209;212;2;27;194;257;0;0;0;0;9;11;28;27;82;56;34;10;0;210;47;0;0;80;59;3;0;15;3
Property;2013;2013_swisscrime.csv;311.00.159.00 Misuse of salary deductions;154;154;0;2;134;146;0;0;0;0;2;7;12;19;47;43;10;4;0;121;23;2;0;48;47;0;0;1;0
Property;2013;2013_swisscrime.csv;311.00.160.00 Handling stolen goods;1669;1727;5;26;1697;1804;1;55;157;171;352;336;290;177;186;67;8;1;2;1616;187;1;0;1401;395;330;63;583;30
Property;2013;2013_swisscrime.csv;311.00.161.00 Insider trading;3;3;0;0;3;6;0;0;0;0;0;0;0;1;4;0;0;1;0;5;1;0;0;2;X;X;X;X;X
Property;2013;2013_swisscrime.csv;311.00.162.00 Breach of manufacturing or trade secrecy;35;35;0;2;30;49;0;0;0;0;1;7;5;4;18;10;3;0;0;43;5;1;0;18;10;0;0;8;0
Property;2013;2013_swisscrime.csv;311.00.163.00 Fraudulent bankruptcy and fraud against seizure;173;177;0;10;173;191;0;0;0;0;7;23;28;19;49;42;20;1;0;153;36;2;0;78;74;0;0;4;0
Property;2013;2013_swisscrime.csv;311.00.164.00 Reduction of assets to the prejudice of creditors;47;47;3;1;41;63;0;0;0;0;0;5;8;1;20;16;9;2;0;51;10;2;0;26;23;0;0;3;0
Property;2013;2013_swisscrime.csv;311.00.165.00 Mismanagement;79;82;0;1;80;108;0;0;0;0;6;8;13;15;27;26;7;2;0;89;15;4;0;42;36;0;0;6;0
Property;2013;2013_swisscrime.csv;311.00.166.00 Failure to keep proper accounts;103;108;0;2;108;145;0;0;0;0;8;14;15;16;53;28;6;3;0;121;22;2;0;60;53;0;0;7;0
Property;2013;2013_swisscrime.csv;311.00.167.00 Undue preference to creditors;13;13;0;1;13;17;0;0;0;0;0;0;1;0;6;5;3;0;0;10;5;2;0;6;6;0;0;0;0
Property;2013;2013_swisscrime.csv;311.00.169.00 Disposal of seized assets;401;402;0;9;398;368;0;0;0;0;10;26;29;41;116;97;41;7;0;325;42;1;0;142;140;0;0;2;0
Property;2013;2013_swisscrime.csv;311.00.170.00 Obtaining a judicial composition agreement by fraud;1;1;0;1;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.173.00 Defamation;1310;1379;0;55;1144;1226;0;28;54;29;72;78;89;138;318;213;138;66;3;770;456;0;0;382;320;9;0;42;11
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.174.00 Wilful defamation;1073;1135;1;50;957;1037;0;20;30;28;70;77;84;125;273;177;95;56;1;594;442;1;0;298;240;10;0;39;9
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.175.00 Defamation of a deceased person or of a missing person presumed dead;3;5;0;0;5;4;0;0;0;0;1;0;0;1;0;2;0;0;0;1;3;0;0;1;X;X;X;X;X
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00 177.00 Insult;7074;7891;1;745;7355;7111;1;226;349;292;806;797;827;777;1541;897;406;186;6;5324;1787;0;0;3131;2465;181;15;321;149
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.179.00 Breach of the privacy of a sealed document;145;145;0;4;52;51;0;1;0;2;6;4;6;7;12;6;4;3;0;37;14;0;0;28;21;2;0;5;0
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.179.A0 Listening in on and recording the conversations of others;14;14;1;1;9;14;0;1;2;1;1;0;2;2;3;2;0;0;0;8;6;0;0;4;4;0;0;0;0
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.179.B0 Unauthorised recording of conversations;43;45;0;6;43;46;0;2;4;1;3;5;8;5;12;3;3;0;0;35;11;0;0;17;16;0;0;1;0
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.179.C0 Breach of secrecy or privacy through the use of an image-carrying device;293;297;3;21;226;244;0;19;33;9;25;16;19;26;49;27;14;7;0;188;56;0;0;82;65;3;0;10;4
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.179.E0 Marketing and promotion of devices for unlawful listening or sound or image recording;89;89;0;0;13;17;0;0;0;0;2;4;3;3;4;0;1;0;0;15;2;0;0;11;3;0;0;8;0
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.179.F0 Misuse of a telecommunications installation  septies;2389;2449;4;442;1792;1724;0;73;80;49;204;194;228;222;385;197;60;27;4;1310;413;1;0;728;588;26;2;94;18
Honour and Breach of Secrecy or Privacy;2013;2013_swisscrime.csv;311.00.179.H0 Obtaining personal data without authorisation  novies;54;54;0;3;21;22;0;3;1;1;3;2;3;2;5;2;0;0;0;16;6;0;0;11;9;0;0;2;0
Offences against Liberty;2013;2013_swisscrime.csv;311.00.180.00 Threatening behaviour;10290;11167;18;1083;10183;9585;2;216;430;305;1003;1200;1310;1225;2162;1171;386;149;26;8155;1430;0;0;5105;4003;352;31;559;160
Offences against Liberty;2013;2013_swisscrime.csv;311.00.181.00 Coercion;2151;2264;196;256;2045;2146;0;74;103;67;207;256;270;226;460;297;130;48;7;1824;321;1;0;948;751;44;4;140;9
Offences against Liberty;2013;2013_swisscrime.csv;311.00.181.10 Forced marriage, forced registered partnership;2;2;1;0;2;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Liberty;2013;2013_swisscrime.csv;311.00.182.00 Trafficking in human beings;51;61;2;1;53;51;0;0;0;0;7;6;11;7;12;6;1;1;0;31;20;0;0;39;11;1;0;26;1
Offences against Liberty;2013;2013_swisscrime.csv;311.00.183.00 False imprisonment and abduction;294;316;26;16;255;320;0;1;19;21;54;56;39;36;59;28;5;2;0;279;41;0;0;193;134;8;1;44;6
